Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Informatik vermitteln - Entwicklung und Umsetzung medienpädagogischer Projekte,Informatik vermitteln - Entwicklung und Umsetzung medienpädagogischer Projekte,FIN,,,,,,B.Sc. ab 1. Semester,Sommersemester,FIN/ISG; Dr. Henry Herper,FIN/ISG; Dr. Henry Herper,deutsch,FIN: B.Sc. CV - Allgemeine Visualistik - Erziehungswissenschaft,Seminar; Projekt,Präsenzzeiten: 2 SWS = 28h Selbstständiges Arbeiten: 152h,6,,,"Die Studierenden können eigenständig medienpädagogische Konzepte mit informatischen Inhalten entwickeln können diese Konzepte didaktisch fundiert in der Praxis umsetzen kennen grundlegende Prinzipien der Projektentwicklung kennen rechtliche Rahmenbedingungen beim Umgang mit digitalen Medien sind in der Lage, ein Projekt studiengangsübergreifend umzusetzen können Informatikinhalte zielgruppenspezifisch strukturieren",Grundkonzepte der ProjektentwicklungDidaktische Prinzipien des Unterrichts Erstellung und Verwaltung von digitalen Unterrichtsmaterialien Bildungsstandards und deren curriculare Umsetzung rechtliche Rahmenbedingungen beim Einsatz digitaler Medien im pädagogischen Umfeld theoretische Bezüge zum Umgang mit Digitalität im gesellschaftlichen und lebensweltlichen Alltag Impulse für informatikbezogene Projektideen Entwicklung und Durchführung zielgruppenspezifischer In-formatikprojekte,"Hausarbeit, Durchführung eines Kurses",,
Information Retrieval,Information Retrieval,FIN,,,IR,,,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester,Wintersemester,Prof. Dr.-Ing. Andreas Nürnberger,Prof. Dr.-Ing. Andreas Nürnberger,englisch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing FIN: B.Sc. INGINF - WPF Technische Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. DKE (alt) - Bereich Methods II,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung 2 SWS Übung Selbstständiges Arbeiten: Bearbeitung von Übungs- und Programmieraufgaben; Nachbereitung der Vorlesung 150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit,5,,T   eilnahmevoraussetzungen: Algorithmen und Datenstrukturen,"Vertieftes Verständnis für Probleme der InformationssucheKenntnis von Datenstrukturen und Algorithmen, die den Studierenden zur selbständigen Entwicklung und Evaluierung von Information Retrieval Systemen befähigen.","Statistische Eigenschaften von Texten, Retrieval Modelle und Datenstrukturen, Relevanz-Feedback, Evaluierung, Grundlagen von XML, Strukturierung von Datensammlungen (Clustering, Kategorisierung), Struktur und Algorithmen von Internet Suchmaschinen, Grundlagen von Multimedia Retrieval Systemen, Schnittstellen Design","L   eistungen: Vorleistungen entsprechend Angabe zum Semesterbeginn (Votierungen, Programmieraufgaben) Prüfung: schriftlich (auch für Schein)",,"Introduction to Information Retrieval, C.D. Manning, P. Raghavan, H. Schütze, Cambridge University Press, 2008.Information Retrieval: Data Structures and Algorithms, William B. Frakes and Ricardo Baeza-Yates, Prentice-Hall, 1992."
Informations- und Codierungstheorie,Informations- und Codierungstheorie,FEIT,,,,,,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester,Sommersemester,Professur für Hochfrequenz- und Kommunikationstechnik,Professur für Hochfrequenz- und Kommunikationstechnik,deutsch,FIN: B.Sc. CV - Anwendungsfach - Bildinformationstechnik FIN: M.Sc. DIGIENG - Methoden des Digital Engineering,Vorlesung; Übung,Präsenzzeiten 2SWS (Vorlesung) + 1SWS (optionale Übung) Selbstständiges Arbeiten Vorlesungsnachbereitung 90h (28h Präsenzzeit +62h selbstständige Arbeit),3,,Universitäres Grundwissen in Mathematik,"Lernziele und zu erwerbende Kompetenzen: Vermittlung der Informationstheoretischen Konzepte Informationsgehalt, Entropie, Redundanz, Quellencodierung, Kanalkapazität, Kanalcodierung, Hamming- Raum und Hamming- Distanz Erstellung mathematischer Modell für die o. g. Konzepte Behandlung ausgewählter Verfahren für die Quellen und Kanalcodierung Behandlung ausgewählter Fehlerkorrigierender Decodie-rungsverfahren","Informationsgehalt und Entropie diskreter Informationsquel-lenRedundanz, Gedächtnis und Quellencodierung (Shannon- Fano- und Huffmann- Verfahren) Kontinuierliche Quellen Diskrete und kontinuierliche Kanäle, Kanalentropien und Kanalkapazität Kanalcodierung und Hamming- Raum Lineare Blockcodes Zyklische Codes Syndromdecodierung",Mündliche Prüfung oder Teilnahmeschein,,
Informationstechnologie in Organisationen,Information Technology in Organizations,FIN,,,ITO,,,B.Sc. ab 3. Semester,Sommersemester,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II (Ar-beitsgruppe KMD),Prof. Myra Spiliopoulou,deutsch,"FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - Gestalten Für Freigabe und Zuordnung zu Curricula von interdisziplinären Studiengängen und von Studiengängen außerhalb der FIN, s. Studi-umsdokumente des jeweiligen Studiengangs.",Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung + 2 SWS Übung Selbstständiges Arbeiten: Vor- und Nachbearbeitung der Vorlesung Entwicklung von Lösungen für die Übungsaufgaben Vorbereitung für die Abschlussprüfung 150h=4 SWS=56h Präsenzzeit+94h selbständige Arbeit,5,,,Verständnis der Rolle der Informationstechnologie für das moderne Unternehmen Erwerb von Kenntnissen zur Rolle der IT bei einer Auswahl von GeschäftsmodellenErwerb von Kenntnissen zu IT-Methoden für die Ableitung von Wissen aus DatenUmgang mit Literatur zum Fachgebiet,"IT entlang der WertschöpfungsketteData ManagementIT und das Internet, E-CommerceCustomer Relationship Management",Vorleistungen:Erfolgreiche Bearbeitung der ÜbungsaufgabenPräsentationen von Ergebnissen Modalitäten werden zum Veranstaltungsbeginn angegeben. Prüfung: schriftlich,,"Auszüge aus den Büchern BUCH W: ‘WIRTSCHAFTSINFORMATIK’, Hans Robert Hansen & Jan Mendling & Gustaf Neumann (2019), darunter Kapitel/Texteinheiten zu folgenden Themen: E-CommerceCRMManagementunterstützungDatenverwaltungsowie Fallstudien BUCH D: ‘Digitalisierung in Industrie, Handels- und Dienstleistungsunternehmen’ Lars Fend & Jürgen Hofmann (eds), 3. Auflage, SPRINGER GABLER, darunter Kapitel/Texteinheiten zu Digitale GeschäftsmodelleCRMsowie Fallstudien BUCH T: ‘Tools des Maschinellen Lernens: Marktstudie, Anwendungsbereiche & Lösungen der Künstlichen Intelligenz’ Marcus Grum, Eldar Sultanow, Daniel Friedmann, André Ullrich, Norbert Gronau (2020) Auswahl von Inhalten aus den Kapiteln 3, 4 und 5 Details zum Syllabus werden während des Semesters in moodle eingetragen. Die Literaturliste kann zusätzliche Fallstudien und weitere wissenschaftliche Arbeiten umfassen. Diese werden am Anfang des jeweiligen Veranstaltungsblocks bekannt gegeben."
In-Memory und Cloud-Technologien 1,In-Memory and Cloud-Technologies 1,FIN,,,IMCloud 1,,,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester,Wintersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Seminar,Präsenzzeiten = 20 h:  •20 h Vorlesung  Selbstständiges Arbeiten = 70 h:  •20 h Vorbereitung auf die Vorlesung – Lesen der empfohlenen Literatur •50 h Nachbereitung der Vorlesung – Ausarbeitung eines wissenschaftlichen Short Papers/Posters,3 Credit Points = 3*30 h = 90 h (20 h Präsenzzeit + 70 h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,,Veranstaltung „Datenbanken I“ und „Datenbanken II“,Lernziele & erworbene Kompetenzen:  •Einführung: In-Memory-Technologie mit Focus auf SAP HANA •Einführung: Cloud -Technologie mit Focus auf Google Cloud  •Digital Decoupling on Cloud for SAP Systems ,"In-Memory Technologie und Anwendungen mit Focus auf SAP HANA: •Erläuterung der In-Memory-Technologie mit Focus auf SAP HANA •Zeilen- versus Spaltenhauptspeicherdatenbanken •Komprimierungs-, Partitionierungs- und Indexierungsansätze Google Cloud Technologie und Services, Einsatz z.B. von Anthos, Bigquery, und AutoML. Die Teilnehmerzahl für das Seminar ist auf 20 Personen beschränkt.",Prüfungszulassung: •Teilnahme an der Veranstaltung Prüfungsform: •Schriftliche Hausarbeit,,"Plattner, H., Zeier, A.: In-Memory Data Management: Technology and Applications, Springer Verlag, 2. Auflage, Mai 2012, ISBN 978-3642295744 Whitepaper “HANA on Intel: Three Steps to Reinvent Your Enterprise as a Digital Disrupter” von Prof. Dr. Alexander Zeier & Intel CTO Enterprise Ed Goldman, 2016. Cloud Computing, Blog (July 2020) zu Digital Decoupling. Title: Trapped by legacy systems, CIOs look for a way out https://www.accenture.com/us-en/blogs/cloud-computing/zeier-digital-decoupling-sap-google-cloud"
In-Memory und Cloud-Technologien 2,In-Memory und Cloud-Technologies 2,FIN,,,IMCloud 2,,,M.Sc. ab 1. Semester,Wintersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Kronberg (Frankfurt am Main),deutsch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Vorlesung,Präsenzzeiten = 40 h:  •40 h Vorlesung   Selbstständiges Arbeiten = 50 h:  •50 h Vor- und Nachbereitung der Vorlesung,3 Credit Points = 3*30 h = 90 h (40 h Präsenzzeit + 50 h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,,Veranstaltung „Datenbanken I“ und „Datenbanken II“ – optional,Lernziele & erworbene Kompetenzen:  •Vertiefung: In-Memory-Technologie mit Focus auf SAP HANA,"In-Memory Technologie und Anwendungen mit Focus auf SAP HANA: •Entwicklung von Hochverfügbarkeitslösungen und Backupstrategien •Erweiterung des Datenlayouts ohne Downtime •Migrationsansätze für Projekte in denen In-Memory Datenbanken eingesetzt werden Aufgrund der Bereitstellung und des Zugangs zum lizensierten SAP HANA Systems und weiterer kostenpflichtiger Anwendungen, ist die Teilnehmeranzahl der Veranstaltung begrenzt.",Prüfungszulassung: •Teilnahme an der Veranstaltung Prüfungsform: •Schriftliche Prüfung,,"Plattner, H., Zeier, A.: In-Memory Data Management: Technology and Applications, Springer Verlag, 2. Auflage, Mai 2012, ISBN 978-3642295744 Whitepaper “HANA on Intel: Three Steps to Reinvent Your Enterprise as a Digital Disrupter” von Prof. Dr. Alexander Zeier & Intel CTO Enterprise Ed Goldman, 2016. Cloud Computing, Blog (July 2020) zu Digital Decoupling. Title: Trapped by legacy systems, CIOs look for a way out https://www.accenture.com/us-en/blogs/cloud-computing/zeier-digital-decoupling-sap-google-cloud"
In-Memory und Cloud-Technologien 3,In-Memory und Cloud-Technologies 3,FIN,,,IMCloud 3,,,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester,Sommersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik,Hon. Prof. Dr. Alexander Zeier Veranstaltungsort: Magdeburg,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Übung; Projekt,Präsenzzeiten = 34 h:  •28 h Übung  •6 h Sprint Meetings   Selbstständiges Arbeiten = 146 h:  •146 h Bearbeiten eines Projektes (innerhalb von 12 Wochen)          oUmsetzung eines Projektes mit Focus auf die Nutzung einer In-Memory Datenbank,6 Credit Points = 6*30 h = 180 h (34 h Präsenzzeit + 146 h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,,Veranstaltung „Datenbanken I“ und „Datenbanken II“ – optional Veranstaltung „In-Memory und Cloud Technologien 2“ – optional    Veranstaltung „In-Memory und Cloud Technologien 1“ ist Pflicht ,"Lernziele & erworbene Kompetenzen:  •Befähigung zum Einsatz der In-Memory-Technologie •Kenntnisse über Datenbeschaffung und  -modellierung in SAP Hana  •Kenntnisse über die Programmierung von SAP HANA Applikationen (HTML5, Javascript, SQL) •Einführung und Verwendung von Cloud -Technologie mit Focus auf Google Cloud   •Digital Decoupling on Cloud for SAP Systems","In-Memory Technologie und Anwendungen mit Focus auf SAP HANA: •Einsatz von Multi-Core und Hauptspeicher •Zugriffmuster in der Speicherhierarchie •Parallele Datenverarbeitung mittels Multi-Core •SQL für den Zugriff auf In-Memory-Daten •Aktive und passive Datenhaltung Google Cloud Technologie und Services, Einsatz z.B. von Anthos, Bigquery, und AutoML. Aufgrund der Bereitstellung und des Zugangs zum lizensierten SAP HANA Systems und weiterer kostenpflichtiger Anwendungen, ist die Teilnehmeranzahl der Veranstaltung begrenzt.",Teilnahme an der Übung Mündliche Prüfung am Ende des Semesters;,,"Plattner, H., Zeier, A.: In-Memory Data Management: Technology and Applications, Springer Verlag, 2. Auflage, Mai 2012, ISBN 978-3642295744 Whitepaper “HANA on Intel: Three Steps to Reinvent Your Enterprise as a Digital Disrupter” von Prof. Dr. Alexander Zeier & Intel CTO Enterprise Ed Goldman, 2016. Cloud Computing, Blog (July 2020) zu Digital Decoupling. Title: Trapped by legacy systems, CIOs look for a way out https://www.accenture.com/us-en/blogs/cloud-computing/zeier-digital-decoupling-sap-google-cloud"
Innovative Mess-und Prüftechnik,Innovative testing technology,FMB,,,,,,B.Sc. ab 1. Semester,,"Prof. Molitor, FMB-IFQ","Prof. Molitor, FMB-IFQ",deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"Präsenzzeit: Vorlesungen: 2 SWS, Übungen: 1 SWS Selbstständiges Arbeiten: Vor-und Nachbereiten der Lehrveranstaltungen, Literaturstudium",5,"Grundkenntnisse in der Fertigungslehre und in der Messtechnik (Fertigungsverfahren, physikalisch-technische Grundprinzipien der Messtechnik)",,Erwerb von Kenntnissen über innovative Messtechniken im industriellen Einsatz.,Rechnerunterstützte optoelektronische Messverfahren Integration von akzelerativen und kameraelektronischen Sensoren in Form von komplexen Messgeräteeinheiten Sensoreinsatz in der Prüfstandstechnik Telemetrie bei Übertragung von Sensorsignalen Klassifizierungsverfahren im n-dimensionalen Merkmalsraum,Mündliche Prüfung (30 min.),,
Integrierte Produktentwicklung 1,Integrated Product Development 1,FMB,,,IPE 1,,,B.Sc. ab 3. Semester,Wintersemester,Professur für Maschinenbauinformatik,Professur für Maschinenbauinformatik,deutsch,FIN: B.Sc. CV - Anwendungsfach - Konstruktion & Design FIN: B.Sc. INGINF - WPF Informatik,Vorlesung; Übung,"Präsenzzeiten: 2 SWS Vorlesung 1 SWS Übung Selbständiges Arbeiten: Nachbereitung der Vorlesung, selbständige Projekt- und Übungsarbeit außerhalb der eigentlichen Übungstermine  4 Credit Points = 120 h = 3 SWS = 42 h Präsenzzeit + 78 h selbstständige Arbeit",4,,CAx-Grundlagen oder gleichwertige Vorlesung,"Lernziele & zu erwerbende Kompetenzen: Interdisziplinäre Zusammenarbeit im Projektteam Methoden zur Lösungsfindung und Bewertung beherrschen Notwendigkeit und Rolle eines integrierten Vorgehens und der Vorverlagerung von Entscheidungen verstehen Gegenseitige Beeinflussungen und Widersprüche von Funktionserfüllung, Design, Qualität, Termintreue und Preis-Leistungs-Verhältnis verstehen Relevante Produkteigenschaften kennenlernen Dynamischen Organisations- und Bearbeitungsformen (lernende Organisationen, Prozessnetzwerke, Prozessnavigation) beherrschen",Einführung in die Projektarbeit der Integrierten Produktentwicklung Evolution der Produktentwicklung Einführung in die Integrierte Produktentwicklung Produkteigenschaften i. d. Integrierten Produktentwicklung Organisatorische Aspekte der ProduktentwicklungProjekt- und Prozessmanagement,"Leistungen: Testat über eine erfolgreiche Projektarbeit, Prüfung: schriftlich (120 min)","Beamer, Overhead, Tafel","Schäppi, Radermacher, Kirchgeorg, Andreasen: Handbuch Produktentwicklung. Hanser-Verlag München 2005. Ehrlenspiel: Integrierte Produktentwicklung. Hanser-Verlag München 2002"
Intelligent Data Analysis,Intelligent Data Analysis,FIN,,,IDA,,,B.Sc. ab 2. Semester; M.Sc. ab 1. Semester,,Professur für Praktische Informatik / Computational Intelligence,Prof. Dr. Rudolf Kruse,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Time of attendance = 56 hours: 2 SWS lecture 2 SWS exercise Bachelor: Independent work = 94 hours: Pre- and post-work for lecture and exercise Solving exercise tasks Master: Independent work = 124 hours: Pre- and post-work for lecture and exercise Solving exercise tasks additional practical exercise,Bachelor: 5 Master: 6,,Foundations of probability theory and statistics,Conveying of fundamental concepts and methods for analyzing data by means of method from intelligent systems Participants will be able to use techniques for data analysis Participants will know the most important methods for solving data analysis problems Participants will know exemplary applications and understand their mode of operation for Master: advanced competencies in scientifical research and writing,Different types of dataStatistical concepts of data analysisRegression analysis Clustering and classification Decision Trees Time Series Analysis Stochastical search methods,"Written exam, duration: 120 minutes, prerequisites: Solve at least 2/3 exercise tasks Succesful presentation during exercise „Schein“ Solve at least 2/3 exercise tasks Succesful presentation during exercise Pass an oral colloquium",,"Kruse, Rudolf, et al., Computational Intelligence, Springer-Vieweg, Wiesbaden, 2015 Berthold, Michael R., et al. Guide to intelligent data analysis: how to intelligently make sense of real data. Vol. 42. Springer Science & Business Media, 2010"
Intelligente Systeme,Intelligent Systems,FIN,,,IS,,,B.Sc. ab 5. Semester,Wintersemester,Professur für Praktische Informatik / Computational Intelligence,Prof. Dr.-Ing. Sanaz Mostaghim,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - Pflichtfächer FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden,Vorlesung; Übung,Präsenzzeit = 56 Stunden: 2 SWS Vorlesung 2 SWS Übung Selbständige Arbeit = 94 Stunden: Vor- und Nachbearbeitung von Vorlesung und Übung Bearbeiten von Übungs- und Programmieraufgaben,5,,Mathematik I bis IV,Befähigung zur Modellierung und Erstellung wissensintensiver Anwendungen durch Auswahl problementsprechender Modellierungstechniken Anwendung heuristischer Suchverfahren und lernender Systeme zur Bewältigung großer Datenmengen Befähigung zur Entwicklung und Bewertung intelligenter und entscheidungsunterstützender Systeme Bewertung und Anwendung von Modellansätzen zur Entwicklung kognitiver Systeme,"Eigenschaften intelligenter Systeme Modellierungstechniken für wissensintensive Anwendungen Subsymbolische Lösungsverfahren Heuristische Suchverfahren Lernende Systeme Modellansätze für kognitive Systeme Wissensrevision und Ontologien Entscheidungsunterstützende Systeme Weitere aktuelle Methoden für die Entwicklung Intelligenter Systeme wie Kausale Netze, Unscharfes Schließen","Prüfung in schriftlicher Form, Umfang: 2 Stunden, notwendige Vorleistungen werden in erster Veranstaltungswoche und auf Vorlesungswebseite angekündigtSchein: schriftlich oder mündlich, notwendige Vorleistungen werden in erster Veranstaltungswoche und auf Vorlesungswebseite angekündigt",,"Christoph Beierle und Gabriele Kern-Isberner. Methoden Wissensbasierter Systeme (5. Auflage). Vieweg Verlag, 2014. Stuart J. Russell und Peter Norvig. Künstliche Intelligenz: Ein moderner Ansatz (2. Auflage). Pearson Studium, 2012 Rudolf Kruse et al., Computational Intelligence, 2. Auflage, Springer-Vieweg, 2015"
Interaktive Systeme,Interactive Systems,FIN,,,,,,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester,Sommersemester,Professur für Angewandte Informatik / Visualisierung,Prof. Dr. Bernhard Preim,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. CV - Anwendungsfach - Computerspiele FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Studienprofil - Computer Games FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK FIN: M.Sc. DIGIENG - Methoden der Informatik,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung/2 SWS Übung Selbständige Arbeit: Nachbereiten der Vorlesung Lösen von Übungsaufgaben Projektentwicklung 150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit,5,,Algorithmen und Datenstrukturen,"Lernziele & erworbene Kompetenzen: Grundlegendes Verständnis der Mensch-Computer-Interaktion Anwendung von Kenntnissen über die menschliche Wahrnehmung bei der Gestaltung und Bewertung von Benutzungsschnittstellen Aufgaben- und benutzerabhängige Auswahl von Interaktionstechniken Fähigkeit zur selbständigen Konzeption, Durchführung und Interpretation von Benutzerstudien Beherrschung des Usability Engineerings unter Einhaltung von Rahmenbedingungen und Ressourcenbeschränkungen (systematisches Erzeugen gut benutzbarer Systeme)","Technische Grundlagen der Mensch-Computer-Interaktion (Fenster-, Menü- und Dialogsysteme) Interaktionstechniken und Interaktionsaufgaben Kognitive Grundlagen der Mensch-Computer-Interaktion Analyse von Aufgaben und Benutzern Prototypentwicklung und EvaluierungSpezifikation von Benutzungsschnittstellen",Prüfungsvorleistungen s. Vorlesung Prüfung: Klausur 120 Min.,,Preim/Dachselt: Interaktive Systeme. Springer 2010
Interaktives Information Retrieval,Interactive Information Retrieval,FIN,,,IIR,,,M.Sc. ab 1. Semester,,Professur für Data and Knowledge Engineering,Dr.-Ing. Tatiana Gossen,deutsch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik FIN: M.Sc. DKE - Bereich Methods II,Vorlesung; Übung,Präsenzzeiten: wöchentliche Vorlesungen 2 SWS wöchentliche Übungen 2 SWS Selbstständiges Arbeiten: Übungsaufgaben & Prüfungsvorbereitung 180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h selbstständige Arbeit),6,,Grundlegende Kenntnisse von Information Retrieval,Lernziele & erworbene Kompetenzen: Die Teilnehmer gewinnen einen Einblick in die Besonderheiten der Mensch-Maschine-Interaktion im Bereich der interaktiven Informationssuche (vor allem im Web) Die Teilnehmer können selbständig maßgeschneiderte interaktive Informationssysteme konzipieren und entwickeln,"Modelle zur Informationssuche Prinzipien des Information Retrieval Modellierung der Suche (Nutzermodellierung) Kontext und Personalisierung Design der Benutzerschnittstellen zur Suche Benutzerschnittstellen für interaktive Retrieval Systeme (z.B. zur kollaborativen Suche, explorativen Suche) Evaluation und Analyse von IIR-Systemen mittels Logfile Analyse und Eye-tracking",Leistungen: Regelmäßige Teilnahme an den Vorlesungen Lösen der Übungsaufgaben und erfolgreiche Präsentation in den Übungen Prüfung: mündlich (auch für Schein),"Power Point, Tafel",Siehe Webseite
Intercultural Workshop: Studying at OvGU - Differences and Similarities in Turkish and German higher education,Intercultural Workshop: Studying at OvGU - Differences and Similarities in Turkish and German higher education,FIN,,,,,,B.Sc. ab 1. Semester,Wintersemester,Prof. Mesut Günes,Prof. Mesut Günes,deutsch,FIN: B.Sc. INF,Blockveranstaltung,30h,1 CP,,,Lernziele & erworbene Kompetenzen:  Aufbau des Studiums und Studientechniken  Kommunikation und Zusammenarbeit  effektive und effiziente Studien- und Prüfungsplanung erfolgreiches Studieren in Deutschland,Studienplanung & erfolgreiches Studieren Ziele & zielorientiertes Handeln  Zeitmanagement & Zeitplanung  Selbstständig denken und handeln Erfolgreiche Semester- und Studienplanung Erfolgreiche Prüfungsvor- und Nachbereitung Kulturelle Unterschiede/ Gemeinsamkeiten Deutschland und Türkei Studienrelevante Unterschiede/ Gemeinsamkeiten Deutschland und Türkei,-,,
Interdisziplinäres Teamprojekt,Interdisciplinary Team Project,FIN,,,ITP,,,M.Sc. ab 2. Semester,jedes Semester,angebotsspezifisch,angebotsspezifisch,---,FIN: M.Sc. DIGIENG - Interdisziplinäres Teamprojekt,Projekt,"Betreute Projektarbeit, Teamarbeit, Selbststudium, Präsentationen 180h = 12 Wochen a 14 Stunden",6,,angebotsspezifisch,"Ziel dieses „kleinen“ Projektes ist neben der im Bereich Grundlagen erreichten Vertiefung im jeweils komplementären Wissenschaftsbereich vor allem der Ausbau von Schlüsselkompetenzen des interdisziplinären Arbeitens an Hand einer abgegrenzten Aufgabenstellung, die von Studenten in einem Team bearbeitet wird.",Dieses Modul wird von unterschiedlichen Hochschullehrern implementiert. Die fachlichen Inhalte sind daher angebotsspezifisch.,angebotsspezifisch,,
Introduction to Computer Graphics,Introduction to Computer Graphics,FIN,,,ICG,,,M.Sc. ab 1. Semester,Wintersemester,Professur für Visual Computing,Prof. Dr. Holger Theisel,englisch,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure FIN: M.Sc. VC - Visual Computing - Pflichtfächer FIN: M.Sc. VC - Visual Computing,Vorlesung; Übung,In class teaching: * 2 SWS lecture / 2 SWS exercise Self-study: * Self-study of lecture material * Solution of exercises and assignments,"6 Credit Points = 180 h (56h in class + 124h self study), grading scheme according to exam regulations",,,Acquire basic knowledge of the most important algorithms in computer graphics.Recognition of basic principles of computer graphics enables fast familiarization with new graphics packages and graphics librariesAbility to use graphical approaches for various computer science applications,"Introduction, history, application areas of Computer graphicsModeling and acquisition of graphical dataTransformationsClippingRasterization and antialiasingLightingTexturingVisibilityRay tracingModern concepts of computer graphics at a glance",E   xam. requirements:Successful completion of the exercisesCompleting a programming task Exam: Written exam 120 min. Exam certificate (Schein): Passing the exam,,"J.D. Foley, A. van Dam, S.K. Feiner, J.F. Hughes: Computer Graphics – Principles and Practice (second Edition). AddisonWesley Publishing Company, Inc., 1996J.Encarnacao, W. D. Salomon: Computer Graphics Geometric Modeling, Springer, 1999A. Watt: 3D Computer Graphics. Addison-Wesley Publishing Company, Inc., 2000"
